[2026-05-20T10:51:32.270779+00:00] detect_docx_toc TOC Structured Document Tag (SDT) detected.
[2026-05-20T10:51:32.278784+00:00] PipelineOrchestrator TOC DETECTED = True
[2026-05-20T10:51:32.281488+00:00] PipelineOrchestrator Starting conversion pipeline for 'Printer_Setup_UserGuide.docx'.
[2026-05-20T10:51:32.281635+00:00] DocxToHtmlProcessor Converting 'Printer_Setup_UserGuide.docx' from DOCX to HTML.
[2026-05-20T10:51:32.284277+00:00] DocxToHtmlProcessor Opening DOCX archive: 'Printer_Setup_UserGuide.docx'.
[2026-05-20T10:51:32.285466+00:00] DocxToHtmlProcessor Reading relationships.
[2026-05-20T10:51:32.285564+00:00] DocxToHtmlProcessor Parsing relationships from 'word/_rels/document.xml.rels'.
[2026-05-20T10:51:32.286632+00:00] DocxToHtmlProcessor Extracted 246 relationship(s).
[2026-05-20T10:51:32.286751+00:00] DocxToHtmlProcessor Extracting media files.
[2026-05-20T10:51:32.286965+00:00] DocxToHtmlProcessor Copying 235 media file(s) to '/app/output/85938342-69aa-4cb2-bda3-900331c80862/media'.
[2026-05-20T10:51:32.287168+00:00] DocxToHtmlProcessor Media copied: 'image110.png'.
[2026-05-20T10:51:32.287319+00:00] DocxToHtmlProcessor Media copied: 'image14.png'.
[2026-05-20T10:51:32.287507+00:00] DocxToHtmlProcessor Media copied: 'image35.png'.
[2026-05-20T10:51:32.287651+00:00] DocxToHtmlProcessor Media copied: 'image56.png'.
[2026-05-20T10:51:32.287840+00:00] DocxToHtmlProcessor Media copied: 'image77.png'.
[2026-05-20T10:51:32.287986+00:00] DocxToHtmlProcessor Media copied: 'image131.png'.
[2026-05-20T10:51:32.288137+00:00] DocxToHtmlProcessor Media copied: 'image161.jpeg'.
[2026-05-20T10:51:32.288268+00:00] DocxToHtmlProcessor Media copied: 'image182.png'.
[2026-05-20T10:51:32.288608+00:00] DocxToHtmlProcessor Media copied: 'image196.png'.
[2026-05-20T10:51:32.288803+00:00] DocxToHtmlProcessor Media copied: 'image217.png'.
[2026-05-20T10:51:32.288955+00:00] DocxToHtmlProcessor Media copied: 'image100.png'.
[2026-05-20T10:51:32.289095+00:00] DocxToHtmlProcessor Media copied: 'image4.png'.
[2026-05-20T10:51:32.289224+00:00] DocxToHtmlProcessor Media copied: 'image25.png'.
[2026-05-20T10:51:32.289353+00:00] DocxToHtmlProcessor Media copied: 'image46.png'.
[2026-05-20T10:51:32.289479+00:00] DocxToHtmlProcessor Media copied: 'image67.png'.
[2026-05-20T10:51:32.289604+00:00] DocxToHtmlProcessor Media copied: 'image121.png'.
[2026-05-20T10:51:32.289762+00:00] DocxToHtmlProcessor Media copied: 'image142.png'.
[2026-05-20T10:51:32.289901+00:00] DocxToHtmlProcessor Media copied: 'image88.png'.
[2026-05-20T10:51:32.290031+00:00] DocxToHtmlProcessor Media copied: 'image172.png'.
[2026-05-20T10:51:32.290172+00:00] DocxToHtmlProcessor Media copied: 'image207.png'.
[2026-05-20T10:51:32.290305+00:00] DocxToHtmlProcessor Media copied: 'image228.png'.
[2026-05-20T10:51:32.290442+00:00] DocxToHtmlProcessor Media copied: 'image15.png'.
[2026-05-20T10:51:32.290567+00:00] DocxToHtmlProcessor Media copied: 'image36.png'.
