[2026-05-20T09:14:06.351049+00:00] detect_docx_toc TOC Structured Document Tag (SDT) detected.
[2026-05-20T09:14:06.360301+00:00] PipelineOrchestrator TOC DETECTED = True
[2026-05-20T09:14:06.363565+00:00] PipelineOrchestrator Starting conversion pipeline for 'Printer_Setup_UserGuide.docx'.
[2026-05-20T09:14:06.363697+00:00] DocxToHtmlProcessor Converting 'Printer_Setup_UserGuide.docx' from DOCX to HTML.
[2026-05-20T09:14:06.366938+00:00] DocxToHtmlProcessor Opening DOCX archive: 'Printer_Setup_UserGuide.docx'.
[2026-05-20T09:14:06.368334+00:00] DocxToHtmlProcessor Reading relationships.
[2026-05-20T09:14:06.368455+00:00] DocxToHtmlProcessor Parsing relationships from 'word/_rels/document.xml.rels'.
[2026-05-20T09:14:06.369477+00:00] DocxToHtmlProcessor Extracted 246 relationship(s).
[2026-05-20T09:14:06.369572+00:00] DocxToHtmlProcessor Extracting media files.
[2026-05-20T09:14:06.369977+00:00] DocxToHtmlProcessor Copying 235 media file(s) to '/app/output/e4d48806-8a5c-42e3-a626-75c715d55f5f/media'.
[2026-05-20T09:14:06.370211+00:00] DocxToHtmlProcessor Media copied: 'image110.png'.
[2026-05-20T09:14:06.370366+00:00] DocxToHtmlProcessor Media copied: 'image14.png'.
[2026-05-20T09:14:06.370565+00:00] DocxToHtmlProcessor Media copied: 'image35.png'.
[2026-05-20T09:14:06.370742+00:00] DocxToHtmlProcessor Media copied: 'image56.png'.
[2026-05-20T09:14:06.370907+00:00] DocxToHtmlProcessor Media copied: 'image77.png'.
[2026-05-20T09:14:06.371045+00:00] DocxToHtmlProcessor Media copied: 'image131.png'.
[2026-05-20T09:14:06.371201+00:00] DocxToHtmlProcessor Media copied: 'image161.jpeg'.
[2026-05-20T09:14:06.371339+00:00] DocxToHtmlProcessor Media copied: 'image182.png'.
[2026-05-20T09:14:06.371686+00:00] DocxToHtmlProcessor Media copied: 'image196.png'.
[2026-05-20T09:14:06.371887+00:00] DocxToHtmlProcessor Media copied: 'image217.png'.
[2026-05-20T09:14:06.372029+00:00] DocxToHtmlProcessor Media copied: 'image100.png'.
[2026-05-20T09:14:06.372164+00:00] DocxToHtmlProcessor Media copied: 'image4.png'.
[2026-05-20T09:14:06.372306+00:00] DocxToHtmlProcessor Media copied: 'image25.png'.
[2026-05-20T09:14:06.372457+00:00] DocxToHtmlProcessor Media copied: 'image46.png'.
[2026-05-20T09:14:06.372612+00:00] DocxToHtmlProcessor Media copied: 'image67.png'.
[2026-05-20T09:14:06.372776+00:00] DocxToHtmlProcessor Media copied: 'image121.png'.
[2026-05-20T09:14:06.372915+00:00] DocxToHtmlProcessor Media copied: 'image142.png'.
[2026-05-20T09:14:06.373046+00:00] DocxToHtmlProcessor Media copied: 'image88.png'.
[2026-05-20T09:14:06.373177+00:00] DocxToHtmlProcessor Media copied: 'image172.png'.
[2026-05-20T09:14:06.373308+00:00] DocxToHtmlProcessor Media copied: 'image207.png'.
[2026-05-20T09:14:06.373458+00:00] DocxToHtmlProcessor Media copied: 'image228.png'.
[2026-05-20T09:14:06.373675+00:00] DocxToHtmlProcessor Media copied: 'image15.png'.
[2026-05-20T09:14:06.373909+00:00] DocxToHtmlProcessor Media copied: 'image36.png'.
[2026-05-20T09:14:06.374051+00:00] DocxToHtmlProcessor Media copied: 'image57.png'.
[2026-05-20T09:14:06.374186+00:00] DocxToHtmlProcessor Media copied: 'image111.png'.
[2026-05-20T09:14:06.374319+00:00] DocxToHtmlProcessor Media copied: 'image132.png'.
[2026-05-20T09:14:06.374474+00:00] DocxToHtmlProcessor Media copied: 'image78.png'.
[2026-05-20T09:14:06.374658+00:00] DocxToHtmlProcessor Media copied: 'image143.jpeg'.
[2026-05-20T09:14:06.374847+00:00] DocxToHtmlProcessor Media copied: 'image162.png'.
[2026-05-20T09:14:06.374990+00:00] DocxToHtmlProcessor Media copied: 'image183.png'.
[2026-05-20T09:14:06.375122+00:00] DocxToHtmlProcessor Media copied: 'image197.png'.
[2026-05-20T09:14:06.375437+00:00] DocxToHtmlProcessor Media copied: 'image218.png'.
[2026-05-20T09:14:06.375599+00:00] DocxToHtmlProcessor Media copied: 'image5.png'.
[2026-05-20T09:14:06.375764+00:00] DocxToHtmlProcessor Media copied: 'image26.png'.
[2026-05-20T09:14:06.375904+00:00] DocxToHtmlProcessor Media copied: 'image101.png'.
[2026-05-20T09:14:06.376035+00:00] DocxToHtmlProcessor Media copied: 'image122.png'.
[2026-05-20T09:14:06.376164+00:00] DocxToHtmlProcessor Media copied: 'image47.png'.
[2026-05-20T09:14:06.376299+00:00] DocxToHtmlProcessor Media copied: 'image68.png'.
[2026-05-20T09:14:06.376431+00:00] DocxToHtmlProcessor Media copied: 'image89.png'.
[2026-05-20T09:14:06.376562+00:00] DocxToHtmlProcessor Media copied: 'image133.png'.
[2026-05-20T09:14:06.376867+00:00] DocxToHtmlProcessor Media copied: 'image152.png'.
[2026-05-20T09:14:06.377023+00:00] DocxToHtmlProcessor Media copied: 'image173.png'.
[2026-05-20T09:14:06.377252+00:00] DocxToHtmlProcessor Media copied: 'image208.png'.
[2026-05-20T09:14:06.377416+00:00] DocxToHtmlProcessor Media copied: 'image229.png'.
[2026-05-20T09:14:06.377752+00:00] DocxToHtmlProcessor Media copied: 'image16.png'.
[2026-05-20T09:14:06.377973+00:00] DocxToHtmlProcessor Media copied: 'image112.png'.
[2026-05-20T09:14:06.378118+00:00] DocxToHtmlProcessor Media copied: 'image37.png'.
[2026-05-20T09:14:06.378250+00:00] DocxToHtmlProcessor Media copied: 'image58.png'.
[2026-05-20T09:14:06.378381+00:00] DocxToHtmlProcessor Media copied: 'image79.png'.
[2026-05-20T09:14:06.378516+00:00] DocxToHtmlProcessor Media copied: 'image123.png'.
[2026-05-20T09:14:06.378664+00:00] DocxToHtmlProcessor Media copied: 'image144.jpeg'.
[2026-05-20T09:14:06.378895+00:00] DocxToHtmlProcessor Media copied: 'image163.png'.
[2026-05-20T09:14:06.379057+00:00] DocxToHtmlProcessor Media copied: 'image184.jpeg'.
[2026-05-20T09:14:06.379264+00:00] DocxToHtmlProcessor Media copied: 'image198.png'.
[2026-05-20T09:14:06.379589+00:00] DocxToHtmlProcessor Media copied: 'image219.png'.
[2026-05-20T09:14:06.379765+00:00] DocxToHtmlProcessor Media copied: 'image6.png'.
[2026-05-20T09:14:06.380114+00:00] DocxToHtmlProcessor Media copied: 'image102.png'.
[2026-05-20T09:14:06.380431+00:00] DocxToHtmlProcessor Media copied: 'image27.png'.
[2026-05-20T09:14:06.380618+00:00] DocxToHtmlProcessor Media copied: 'image48.jpeg'.
[2026-05-20T09:14:06.380784+00:00] DocxToHtmlProcessor Media copied: 'image69.png'.
[2026-05-20T09:14:06.380925+00:00] DocxToHtmlProcessor Media copied: 'image90.png'.
[2026-05-20T09:14:06.381061+00:00] DocxToHtmlProcessor Media copied: 'image113.png'.
[2026-05-20T09:14:06.381199+00:00] DocxToHtmlProcessor Media copied: 'image134.png'.
[2026-05-20T09:14:06.381399+00:00] DocxToHtmlProcessor Media copied: 'image153.png'.
[2026-05-20T09:14:06.381543+00:00] DocxToHtmlProcessor Media copied: 'image174.png'.
[2026-05-20T09:14:06.381701+00:00] DocxToHtmlProcessor Media copied: 'image209.png'.
[2026-05-20T09:14:06.381934+00:00] DocxToHtmlProcessor Media copied: 'image230.png'.
[2026-05-20T09:14:06.382079+00:00] DocxToHtmlProcessor Media copied: 'image17.png'.
[2026-05-20T09:14:06.382267+00:00] DocxToHtmlProcessor Media copied: 'image38.png'.
[2026-05-20T09:14:06.382425+00:00] DocxToHtmlProcessor Media copied: 'image59.jpeg'.
[2026-05-20T09:14:06.382561+00:00] DocxToHtmlProcessor Media copied: 'image80.png'.
[2026-05-20T09:14:06.382695+00:00] DocxToHtmlProcessor Media copied: 'image103.png'.
[2026-05-20T09:14:06.382885+00:00] DocxToHtmlProcessor Media copied: 'image124.png'.
[2026-05-20T09:14:06.383040+00:00] DocxToHtmlProcessor Media copied: 'image145.jpeg'.
[2026-05-20T09:14:06.383181+00:00] DocxToHtmlProcessor Media copied: 'image164.png'.
[2026-05-20T09:14:06.383317+00:00] DocxToHtmlProcessor Media copied: 'image185.png'.
[2026-05-20T09:14:06.383696+00:00] DocxToHtmlProcessor Media copied: 'image199.png'.
[2026-05-20T09:14:06.383995+00:00] DocxToHtmlProcessor Media copied: 'image220.png'.
[2026-05-20T09:14:06.384149+00:00] DocxToHtmlProcessor Media copied: 'image231.png'.
[2026-05-20T09:14:06.384310+00:00] DocxToHtmlProcessor Media copied: 'image7.png'.
[2026-05-20T09:14:06.384457+00:00] DocxToHtmlProcessor Media copied: 'image28.png'.
[2026-05-20T09:14:06.384591+00:00] DocxToHtmlProcessor Media copied: 'image49.png'.
[2026-05-20T09:14:06.384744+00:00] DocxToHtmlProcessor Media copied: 'image70.png'.
[2026-05-20T09:14:06.384888+00:00] DocxToHtmlProcessor Media copied: 'image93.png'.
[2026-05-20T09:14:06.385120+00:00] DocxToHtmlProcessor Media copied: 'image1.png'.
[2026-05-20T09:14:06.385270+00:00] DocxToHtmlProcessor Media copied: 'image91.png'.
[2026-05-20T09:14:06.385406+00:00] DocxToHtmlProcessor Media copied: 'image114.png'.
[2026-05-20T09:14:06.385545+00:00] DocxToHtmlProcessor Media copied: 'image135.png'.
[2026-05-20T09:14:06.385939+00:00] DocxToHtmlProcessor Media copied: 'image154.png'.
[2026-05-20T09:14:06.386134+00:00] DocxToHtmlProcessor Media copied: 'image175.png'.
[2026-05-20T09:14:06.386278+00:00] DocxToHtmlProcessor Media copied: 'image210.png'.
[2026-05-20T09:14:06.386537+00:00] DocxToHtmlProcessor Media copied: 'image221.png'.
[2026-05-20T09:14:06.386685+00:00] DocxToHtmlProcessor Media copied: 'image18.png'.
[2026-05-20T09:14:06.386876+00:00] DocxToHtmlProcessor Media copied: 'image39.png'.
[2026-05-20T09:14:06.387013+00:00] DocxToHtmlProcessor Media copied: 'image60.png'.
[2026-05-20T09:14:06.387148+00:00] DocxToHtmlProcessor Media copied: 'image81.png'.
[2026-05-20T09:14:06.387283+00:00] DocxToHtmlProcessor Media copied: 'image104.png'.
[2026-05-20T09:14:06.387425+00:00] DocxToHtmlProcessor Media copied: 'image125.jpeg'.
[2026-05-20T09:14:06.387560+00:00] DocxToHtmlProcessor Media copied: 'image146.png'.
[2026-05-20T09:14:06.387741+00:00] DocxToHtmlProcessor Media copied: 'image165.png'.
[2026-05-20T09:14:06.387955+00:00] DocxToHtmlProcessor Media copied: 'image186.jpeg'.
[2026-05-20T09:14:06.388105+00:00] DocxToHtmlProcessor Media copied: 'image200.png'.
[2026-05-20T09:14:06.388257+00:00] DocxToHtmlProcessor Media copied: 'image211.png'.
[2026-05-20T09:14:06.388396+00:00] DocxToHtmlProcessor Media copied: 'image232.png'.
[2026-05-20T09:14:06.388529+00:00] DocxToHtmlProcessor Media copied: 'image8.png'.
[2026-05-20T09:14:06.388682+00:00] DocxToHtmlProcessor Media copied: 'image29.png'.
[2026-05-20T09:14:06.388875+00:00] DocxToHtmlProcessor Media copied: 'image50.png'.
[2026-05-20T09:14:06.389012+00:00] DocxToHtmlProcessor Media copied: 'image3.png'.
[2026-05-20T09:14:06.389146+00:00] DocxToHtmlProcessor Media copied: 'image24.png'.
[2026-05-20T09:14:06.389283+00:00] DocxToHtmlProcessor Media copied: 'image45.png'.
[2026-05-20T09:14:06.389418+00:00] DocxToHtmlProcessor Media copied: 'image66.png'.
[2026-05-20T09:14:06.389551+00:00] DocxToHtmlProcessor Media copied: 'image71.png'.
[2026-05-20T09:14:06.389720+00:00] DocxToHtmlProcessor Media copied: 'image87.png'.
[2026-05-20T09:14:06.389934+00:00] DocxToHtmlProcessor Media copied: 'image92.png'.
[2026-05-20T09:14:06.390082+00:00] DocxToHtmlProcessor Media copied: 'image94.png'.
[2026-05-20T09:14:06.390229+00:00] DocxToHtmlProcessor Media copied: 'image115.png'.
[2026-05-20T09:14:06.390373+00:00] DocxToHtmlProcessor Media copied: 'image136.png'.
